매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구,점포수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,버스정류장_수
266085.7444,2020,골목상권,2110955,논현초등학교,1,3,7080,4369,3430,718388,0,0,0,2,190912,0,0,0,412457.8,380383,1958,2864.238669,0,1.519024472,0.523801542,0.484463277,,,,,,,,,,,,,,,,,,,,,,,,,
206127.1594,2020,골목상권,2110957,언북중학교,1,3,1816,1116,1251,174285,0,0,0,3,94815,0,0,0,149910,98264.5,532,2863.342015,0,0.632811264,0.843748352,0.688876652,,,,,,,,,,,,,,,,,,,,,,,,,
150332.5688,2020,골목상권,2110958,역삼역 4번,1,3,858,528,994,66041,0,0,0,2,73119,0,0,0,68305.8,41353.5,290,2863.994947,0,0.410290075,1.230870225,1.158508159,,,,,,,,,,,,,,,,,,,,,,,,,
34016.88768,2020,골목상권,2110959,신구중학교,1,3,365,166,271,18745,0,0,0,0,35959,0,0,0,18927,14121.5,82,2864.525753,0,0.83428349,2.224755972,0.742465753,,,,,,,,,,,,,,,,,,,,,,,,,
108198.6558,2020,골목상권,2110960,은광여고,1,3,719,417,1522,28094,0,0,0,1,25543,0,0,0,15853.8,13967.5,239,2865.393582,0,1.174490076,1.565986767,2.116828929,,,,,,,,,,,,,,,,,,,,,,,,,
117854.308,2020,골목상권,2110961,언주역 3번,1,3,2169,1298,962,155417,1,0,0,1,63031,0,0,0,128248.2,97907,612,2865.751781,0,0.951912551,0.475956275,0.443522361,,,,,,,,,,,,,,,,,,,,,,,,,
72230.90217,2020,골목상권,2110963,역삼월드메르디앙아파트,1,3,1724,847,780,125411,0,0,0,1,40391,0,0,0,62460.8,56080,543,2865.642601,0,0.742739719,0.247579906,0.452436195,,,,,,,,,,,,,,,,,,,,,,,,,
154421.9384,2020,골목상권,2110965,언주역 6번,1,3,2309,1512,1139,170160,0,0,0,2,65107,0,0,0,127219.6,99961,694,2865.40973,0,0.921559894,0.307186631,0.493287137,,,,,,,,,,,,,,,,,,,,,,,,,
87916.22554,2020,골목상권,2110966,논현2동주민센터,1,3,2887,1539,1637,284661,0,0,0,2,93544,0,0,0,267166.2,188422,843,2865.37826,0,0.42760626,0.962114085,0.567024593,,,,,,,,,,,,,,,,,,,,,,,,,
266156.4263,2020,골목상권,2110967,역삼역 8번,1,3,1307,877,377,128353,0,0,0,3,68671,0,0,0,98576,72275.5,379,2865.52746,0,1.310596904,1.019353148,0.288446825,,,,,,,,,,,,,,,,,,,,,,,,,
